title,url,sqm,rooms,state,elevator,price
Piso en venta en calle del Taulat,https://www.idealista.com/inmueble/91131478/,94.0,2.0,second_hand,True,533500.0
Piso en venta en calle de Pujades,https://www.idealista.com/inmueble/89020944/,51.0,3.0,second_hand,True,290000.0
Piso en venta en Passatge de Cantí,https://www.idealista.com/inmueble/91245358/,46.0,1.0,second_hand,False,115000.0
Piso en venta en calle de Bilbao,https://www.idealista.com/inmueble/91064127/,140.0,3.0,second_hand,True,650000.0
Piso en venta en calle de Pallars,https://www.idealista.com/inmueble/91053823/,55.0,2.0,second_hand,False,155000.0
Piso en venta en espronceda,https://www.idealista.com/inmueble/90957823/,51.0,2.0,second_hand,False,207000.0
"Piso en venta en calle de Pujades, 228",https://www.idealista.com/inmueble/90804397/,60.0,1.0,second_hand,True,330000.0
"Piso en venta en calle de Lope de Vega, 41",https://www.idealista.com/inmueble/90578775/,60.0,2.0,second_hand,True,262000.0
"Ático en venta en calle de Lope de Vega, 148",https://www.idealista.com/inmueble/89616704/,121.0,2.0,second_hand,True,695000.0
Piso en venta en calle de Pere IV,https://www.idealista.com/inmueble/89452281/,133.0,3.0,second_hand,False,421000.0
Piso en venta en pujades,https://www.idealista.com/inmueble/90735331/,95.0,4.0,second_hand,True,305000.0
"Piso en venta en Passatge de Saladrigas, 4",https://www.idealista.com/inmueble/88766205/,62.0,2.0,second_hand,True,423000.0
